Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Customer Reference,Reference Designator,Packaging,Part Status,Quantity,Unit Price,Extended Price,Quantity Available,Mfg Std Lead Time,Description,RoHS Status,Lead Free Status,REACH Status
CRGCQ0805F220R,TE Connectivity Passive Product,A129741CT-ND,R 220,,Cut Tape (CT),Active,11,0.04800,$0.52,24591,19 Weeks,CRGCQ 0805 220R 1%,RoHS Compliant,Lead free,Not Available
CRGCQ0805F4K7,TE Connectivity Passive Product,A129757CT-ND,R 4K7,,Cut Tape (CT),Active,14,0.05100,$0.71,4501,19 Weeks,CRGCQ 0805 4K7 1%,RoHS Compliant,Lead free,Not Available
MIC2005A-2YM5-TR,Microchip Technology,576-3464-1-ND,u USB,,Cut Tape (CT),Active,1,0.29000,$0.29,1109,7 Weeks,IC PWR SWITCH P-CHAN 1:1 SOT23-5,ROHS3 Compliant,Lead free,REACH Unaffected
NUP2105LT1G,ON Semiconductor,NUP2105LT1GOSCT-ND,Diodos para RS485,,Cut Tape (CT),Active,5,0.47000,$2.35,433411,52 Weeks,TVS DIODE 24V 44V SOT23-3,ROHS3 Compliant,Lead free,REACH Unaffected
NX5032GA-8MHZ-EXS00A-CG07039,"NDK America, Inc.",644-1318-1-ND,Cristal 8 MHz,,Cut Tape (CT),Active,1,0.69000,$0.69,2721,18 Weeks,CRYSTAL 8.0000MHZ 18PF SMD,RoHS Compliant,Lead free,Not Available
RJMG1BD3B8K1ANR,Amphenol ICC (Commercial Products),RJMG1BD3B8K1ANR-ND,Conector RJ45,,Tray,Active,1,4.37000,$4.37,62,20 Weeks,CONN JACK 1PORT 100 BASE-T PCB,RoHS Compliant,Lead free,REACH Unaffected
RMCF0805FT6K49,Stackpole Electronics Inc,RMCF0805FT6K49CT-ND,R 6K49,,Cut Tape (CT),Active,1,0.10000,$0.10,4642,21 Weeks,RES 6.49K OHM 1% 1/8W 0805,ROHS3 Compliant,Lead free,REACH Unaffected
5-534206-2,TE Connectivity AMP Connectors,A32933-ND,Socket Tensión,,Tube,Active,3,1.50000,$4.50,2740,23 Weeks,CONN RCPT 4POS 0.1 GOLD PCB,RoHS Compliant,Lead free,Not Available
5-534998-7,TE Connectivity AMP Connectors,A32957-ND,Conector 2x7,,Tube,Active,1,3.61000,$3.61,820,23 Weeks,CONN RCPT 14POS 0.1 GOLD PCB,RoHS Compliant,Lead free,Not Available
87606-310LF,Amphenol ICC (FCI),609-3555-ND,Conector 2x10,,Tube,Active,1,2.69000,$2.69,1354,6 Weeks,CONN RCPT 20POS 0.1 GOLD PCB,RoHS Compliant,Lead free,REACH Unaffected
87606-303LF,Amphenol ICC (FCI),609-6001-ND,Conector Serial,,Tube,Active,1,1.12000,$1.12,149,9 Weeks,CONN RCPT 6POS 0.1 GOLD PCB,RoHS Compliant,Lead free,REACH Unaffected
5-534206-2,TE Connectivity AMP Connectors,A32933-ND,Conector JTAG uP,,Tube,Active,1,1.50000,$4.50,2740,23 Weeks,CONN RCPT 4POS 0.1 GOLD PCB,RoHS Compliant,Lead free,Not Available
215299-6,TE Connectivity AMP Connectors,A121761-ND,Conector JTAG MVB,,Tray,Active,1,1.23000,$1.23,2898,34 Weeks,CONN RCPT 6POS 0.1 GOLD PCB,RoHS Compliant,Lead free,Not Available
BD04,C&K,CKN3003-ND,Switch MVB,,Tube,Active,1,1.48000,$1.48,3393,10 Weeks,SWITCH SLIDE DIP SPST 100MA 5V,ROHS3 Compliant,Lead free,REACH Unaffected
M20-9990246,Harwin Inc.,952-2262-ND,Doble Pin Macho Jumper,,Bulk,Active,2,0.11000,$0.22,22152,12 Weeks,CONN HEADER VERT 2POS 2.54MM,ROHS3 Compliant,Lead free,REACH Unaffected
QPC02SXGN-RC,Sullins Connector Solutions,S9337-ND,Jumper,,Bulk,Active,2,0.10000,$0.20,641914,5 Weeks,"CONN JUMPER SHORTING .100"" GOLD",ROHS3 Compliant,Lead free,REACH Unaffected
CRGCQ0805J10R,TE Connectivity Passive Product,A130122CT-ND,R 10,,Cut Tape (CT),Active,10,0.03700,$0.37,34780,19 Weeks,CRGCQ 0805 10R 5%,RoHS Compliant,Lead free,Not Available
JL-100-25-T,Samtec Inc.,SAM9019-ND,Shunt para mediciones,,Bulk,Active,10,0.09500,$0.95,14224,8 Weeks,SHUNT JUMPER,ROHS3 Compliant,Lead free,REACH Unaffected
LD09S33E4GX00LF,Amphenol ICC (FCI),609-5193-ND,Conector DB9 Hembra,,Tray,Active,1,1.01000,$1.01,831,10 Weeks,CONN D-SUB RCPT 9POS R/A SLDR,RoHS Compliant,Lead free,Not Available
LD09P33E4GV00LF,Amphenol ICC (FCI),609-5186-ND,Conector DB9 Macho,,Tray,Active,1,1.23000,$1.23,2280,10 Weeks,CONN D-SUB PLUG 9POS R/A SLDR,RoHS Compliant,Lead free,Not Available
STM32H743ZGT6,STMicroelectronics,497-STM32H743ZGT6-ND,,,Tray,Active,1,15.00000,$15.00,533,36 Weeks,IC MCU 32BIT 1MB FLASH 144LQFP,Not Available,Not Available,REACH Unaffected
S25FL127SABMFV101,Cypress Semiconductor Corp,428-4207-ND,,,Tube,Active,1,3.39000,$3.39,1377,24 Weeks,IC FLASH 128MBIT SPI/QUAD 8SOIC,ROHS3 Compliant,Lead free,REACH Unaffected
TLS4120D0EPV33XUMA1,Infineon Technologies,448-TLS4120D0EPV33XUMA1CT-ND,,,Cut Tape (CT),Active,1,3.08000,$3.08,5967,52 Weeks,OPTIREG SWITCHER,Not Available,Not Available,Not Available
SN75HVD08DR,Texas Instruments,296-37893-1-ND,,,Cut Tape (CT),Active,5,4.50000,$22.50,13551,35 Weeks,IC TRANSCEIVER HALF 1/1 8SOIC,ROHS3 Compliant,Lead free,REACH Unaffected
VJ0805A180JXAMC,Vishay Vitramon,720-VJ0805A180JXAMCCT-ND,,,Cut Tape (CT),Active,2,0.36000,$0.72,27000,39 Weeks,CAP CER 18PF 50V C0G/NP0 0805,ROHS3 Compliant,Lead free,Not Available
1546551-3,TE Connectivity AMP Connectors,A112369-ND,,,Tray,Active,1,1.58000,$1.58,7562,16 Weeks,TERM BLK 3POS SIDE ENT 3.5MM PCB,RoHS Compliant,Lead free,Not Available
SDR0805-3R9ML,Bourns Inc.,SDR0805-3R9MLCT-ND,,,Cut Tape (CT),Active,2,0.70000,$1.40,750,24 Weeks,FIXED IND 3.9UH 4.4A 20 MOHM SMD,ROHS3 Compliant,Lead free,REACH Unaffected
RMCF0805FT470R,Stackpole Electronics Inc,RMCF0805FT470RCT-ND,,,Cut Tape (CT),Active,1,0.10000,$0.10,56756,21 Weeks,RES 470 OHM 1% 1/8W 0805,ROHS3 Compliant,Lead free,REACH Unaffected
ECS-.327-12.5-12R-TR,ECS Inc.,XC2739CT-ND,,,Cut Tape (CT),Active,1,0.71000,$0.71,27554,41 Weeks,CRYSTAL 32.7680KHZ 12.5PF SMD,ROHS3 Compliant,Lead free,Not Available
KSZ8091MNXIA-TR,Microchip Technology,KSZ8091MNXIA-CT-ND,,,Cut Tape (CT),Active,1,1.71000,$1.71,3185,30 Weeks,IC TRANSCEIVER FULL 1/1 32QFN,ROHS3 Compliant,Lead free,REACH Unaffected
TL3342F160QG/TR,E-Switch,EG2531CT-ND,,,Cut Tape (CT),Active,4,0.59000,$2.36,33018,12 Weeks,SWITCH TACTILE SPST-NO 0.05A 12V,ROHS3 Compliant,Lead free,REACH Unaffected
UE27BC54130,Amphenol ICC (Commercial Products),UE27BC54130-ND,,,Tray,Active,2,1.15000,$2.30,13245,16 Weeks,CONN RCPT USB2.0 TYPEB 4POS R/A,RoHS Compliant,Lead free,Not Available
USBLC6-4SC6,STMicroelectronics,497-4492-1-ND,,,Cut Tape (CT),Active,4,0.54000,$2.16,124240,29 Weeks,TVS DIODE 5.25V 17V SOT23-6,ROHS3 Compliant,Lead free,REACH Unaffected
STM32F070F6P6TR,STMicroelectronics,497-17354-1-ND,,,Cut Tape (CT),Active,1,1.92000,$1.92,6,52 Weeks,IC MCU 32BIT 32KB FLASH 20TSSOP,ROHS3 Compliant,Lead free,REACH Unaffected
US2500002Z,Diodes Incorporated,US2500002ZDICT-ND,,,Cut Tape (CT),Active,1,0.99000,$0.99,2730,26 Weeks,CRYSTAL 25.0000MHZ 20PF SMD,RoHS Compliant,Lead free,REACH Unaffected
