"N.º","CANTIDAD","NÚMERO DE PIEZA","NÚMERO DE PIEZA DEL FABRICANTE","DESCRIPCIÓN","REFERENCIA DEL CLIENTE","PEDIDO ATRASADO","PRECIO POR UNIDAD","PRECIO TOTAL"
"45","2","497-STM32H743ZGT6-ND","STM32H743ZGT6","IC MCU 32BIT 1MB FLASH 144LQFP","","0","15.00000","30.00"
"46","2","428-4207-ND","S25FL127SABMFV101","IC FLASH 128MBIT SPI/QUAD 8SOIC","","0","3.39000","6.78"
"47","2","448-TLS4120D0EPV33XUMA1CT-ND","TLS4120D0EPV33XUMA1","OPTIREG SWITCHER","","0","3.08000","6.16"
"48","10","296-37893-1-ND","SN75HVD08DR","IC TRANSCEIVER HALF 1/1 8SOIC","","0","4.03900","40.39"
"49","4","720-VJ0805A180JXAMCCT-ND","VJ0805A180JXAMC","CAP CER 18PF 50V C0G/NP0 0805","","0","0.36000","1.44"
"50","2","A112369-ND","1546551-3","TERM BLK 3POS SIDE ENT 3.5MM PCB","","0","1.58000","3.16"
"51","4","SDR0805-3R9MLCT-ND","SDR0805-3R9ML","FIXED IND 3.9UH 4.4A 20 MOHM SMD","","0","0.70000","2.80"
"52","2","RMCF0805FT470RCT-ND","RMCF0805FT470R","RES 470 OHM 1% 1/8W 0805","","0","0.10000","0.20"
"53","2","XC2739CT-ND","ECS-.327-12.5-12R-TR","CRYSTAL 32.7680KHZ 12.5PF SMD","","0","0.71000","1.42"
"54","2","KSZ8091MNXIA-CT-ND","KSZ8091MNXIA-TR","IC TRANSCEIVER FULL 1/1 32QFN","","0","1.71000","3.42"
"55","8","EG2531CT-ND","TL3342F160QG/TR","SWITCH TACTILE SPST-NO 0.05A 12V","","0","0.59000","4.72"
"56","4","UE27BC54130-ND","UE27BC54130","CONN RCPT USB2.0 TYPEB 4POS R/A","","0","1.15000","4.60"
"57","2","497-17354-1-ND","STM32F070F6P6TR","IC MCU 32BIT 32KB FLASH 20TSSOP","","0","1.92000","3.84"
"58","2","US2500002ZDICT-ND","US2500002Z","CRYSTAL 25.0000MHZ 20PF SMD","","0","0.99000","1.98"
"59","10","732-7816-1-ND","885012007012","CAP CER 22PF 16V C0G/NP0 0805","CAPACITOR 22 PF","0","0.04300","0.43"
"60","10","587-4917-1-ND","LMK212B7475MG-T","CAP CER 4.7UF 10V X7R 0805","CAPACITOR 4,7 UF","0","0.16000","1.60"
"61","25","SAM9019-ND","JL-100-25-T","SHUNT JUMPER","SHUNT PARA MEDICIONES","0","0.07080","1.77"
"62","10","497-4492-1-ND","USBLC6-4SC6","TVS DIODE 5.25V 17V SOT23-6","","0","0.45900","4.59"
"63","2","497-19083-ND","L6986H5V","POWER MANAGEMENT","","0","2.89000","5.78"
